Dataset,Filter,Classifier,nInst,nAttr,CV-%corr,CV-%inco,CV-wPrecn,CV-wRecall,CV-wFMeas,TEST-%corr,TEST-%inco,TEST-wPrecn,TEST-wRecall,TEST-wFMeas
"002000",SR,J48-pc-0.10,2000,9,59.5195,40.4805,0.5918,0.5952,0.5855,64.2216,35.7784,0.6402,0.6422,0.6369
"002000",SR,J48-pc-0.15,2000,9,59.1216,40.8784,0.5874,0.5912,0.5823,65.4192,34.5808,0.6473,0.6542,0.6474
"002000",SR,J48-pc-0.20,2000,9,58.9640,41.0360,0.5854,0.5896,0.5806,66.6168,33.3832,0.6632,0.6662,0.6598
"002000",SR,J48-pc-0.25,2000,9,59.1291,40.8709,0.5862,0.5913,0.5823,64.9701,35.0299,0.6481,0.6497,0.6420
"002000",SR,J48-pc-0.30,2000,9,59.3994,40.6006,0.5880,0.5940,0.5852,64.5210,35.4790,0.6455,0.6452,0.6397
"002000",SR,J48-pc-0.35,2000,9,59.3544,40.6456,0.5873,0.5935,0.5851,64.3713,35.6287,0.6437,0.6437,0.6384
"002000",SR,J48-pc-0.40,2000,9,59.3919,40.6081,0.5876,0.5939,0.5860,64.8204,35.1796,0.6474,0.6482,0.6436
"002000",SR,J48-pc-0.45,2000,9,59.4144,40.5856,0.5876,0.5941,0.5862,65.1198,34.8802,0.6511,0.6512,0.6454
"002000",SR,J48-pc-0.50,2000,9,59.4745,40.5255,0.5881,0.5947,0.5868,65.4192,34.5808,0.6538,0.6542,0.6485
